Time,Fc,Zs,Zus,Zr
5.748,-7.41962,0.00768071,0.00230857,0.00237968
5.75,-7.39499,0.00783593,0.00244494,0.00247196
5.752,-7.37026,0.00803954,0.00262028,0.00255107
5.754,-7.34542,0.00821879,0.00277126,0.0026082
5.756,-7.32047,0.00840842,0.00295146,0.00274662
5.758,-7.29541,0.00841816,0.0029612,0.00283232
5.76,-7.27025,0.00850064,0.00303426,0.00290263
5.762,-7.24498,0.00862664,0.00314141,0.00295537
5.764,-7.21961,0.00878186,0.00327778,0.00302129
5.766,-7.19413,0.00907282,0.00353104,0.00320147
5.768,-7.16854,0.00920401,0.0036528,0.00338824
5.77,-7.14285,0.00928649,0.00372586,0.00348492
5.772,-7.11705,0.00937384,0.00380378,0.00356622
5.774,-7.09115,0.00948067,0.00390119,0.00363433
5.776,-7.06514,0.00956802,0.00397912,0.00369806
5.778,-7.03903,0.00975765,0.00415932,0.00381451
5.78,-7.01282,0.00993754,0.00432979,0.00391779
5.782,-6.9865,0.00999599,0.00438823,0.00396613
5.784,-6.96007,0.0100496,0.0044418,0.00400788
5.786,-6.93355,0.0101177,0.00450999,0.00404523
5.788,-6.90692,0.0101762,0.00456844,0.00408478
5.79,-6.88018,0.0102632,0.00463662,0.00412653
5.792,-6.85335,0.0104184,0.00477299,0.00422761
5.794,-6.82641,0.010472,0.00482657,0.00428474
5.796,-6.79937,0.0105305,0.00488501,0.00434406
5.798,-6.77223,0.0105646,0.0049191,0.0043924
5.8,-6.74498,0.0106032,0.00494833,0.00443855
5.802,-6.71764,0.0107052,0.00504086,0.00452644
5.804,-6.69019,0.010851,0.00517724,0.00460994
5.806,-6.66265,0.0108656,0.00519185,0.00462751
5.808,-6.635,0.0108656,0.00519185,0.00462971
5.81,-6.60725,0.0108753,0.00520159,0.00462751
5.812,-6.5794,0.0109578,0.00527464,0.00464289
5.814,-6.55146,0.0109867,0.00529412,0.00465388
5.816,-6.52341,0.0110156,0.00531361,0.00466487
5.818,-6.49527,0.0110254,0.00532335,0.00467585
5.82,-6.46702,0.0110254,0.00532335,0.00468684
5.822,-6.43868,0.0110254,0.00532335,0.00469783
5.824,-6.41024,0.0110156,0.00531361,0.00469783
5.826,-6.3817,0.0110205,0.00531848,0.00469783
5.828,-6.35307,0.0110254,0.00532335,0.00469783
5.83,-6.32434,0.0110254,0.00532335,0.00469783
5.832,-6.29551,0.0110156,0.00531361,0.00469783
5.834,-6.26658,0.0109916,0.005299,0.00469563
5.836,-6.23756,0.0109429,0.00525029,0.00468904
5.838,-6.20844,0.0109283,0.00523568,0.00468464
5.84,-6.17923,0.0109088,0.0052162,0.00468025
5.842,-6.14992,0.0108844,0.00519185,0.00466926
5.844,-6.12052,0.0108601,0.00516749,0.00465608
5.846,-6.09102,0.0107685,0.00510418,0.00460994
5.848,-6.06143,0.0106665,0.00501164,0.00450447
5.85,-6.03174,0.0106133,0.00496781,0.00446272
5.852,-6.00196,0.0105743,0.00492884,0.00442756
5.854,-5.97209,0.0105353,0.00488988,0.00440339
5.856,-5.94212,0.0104337,0.00480708,0.00434626
5.858,-5.91206,0.0103756,0.00475838,0.0043133
5.86,-5.88191,0.0103174,0.00470968,0.00426935
