Time - Fc (N),Amplitude - Fc (N),"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Middle Plate,  VehicleTire (m)","Amplitude - Middle Plate,  VehicleTire (m)","Time - Top Plate, Vechile Body (m)","Amplitude - Top Plate, Vechile Body (m)"
0.246,1.90655,0.246,0.00119313,0.246,0.000998432,0.246,0.000376395
0.248,1.92485,0.248,0.00121291,0.248,0.00101791,0.248,0.000377027
0.25,1.9432,0.25,0.00123488,0.25,0.0010374,0.25,0.000377659
0.252,1.96159,0.252,0.00124587,0.252,0.00105201,0.252,0.00039227
0.254,1.98002,0.254,0.00125686,0.254,0.00106175,0.254,0.000392586
0.256,1.99849,0.256,0.00126564,0.256,0.00107149,0.256,0.000392902
0.258,2.017,0.258,0.00127443,0.258,0.00107636,0.258,0.000388348
0.26,2.03555,0.26,0.00129641,0.26,0.00109584,0.26,0.000398405
0.262,2.05414,0.262,0.00131838,0.262,0.00111045,0.262,0.000394166
0.264,2.07278,0.264,0.00132937,0.264,0.00112019,0.264,0.000394482
0.266,2.09145,0.266,0.00134035,0.266,0.00112506,0.266,0.000399353
0.268,2.11017,0.268,0.00134914,0.268,0.00112993,0.268,0.000394798
0.27,2.12892,0.27,0.00135793,0.27,0.0011348,0.27,0.000399669
0.272,2.14772,0.272,0.00137771,0.272,0.00114941,0.272,0.000404855
0.274,2.16656,0.274,0.00139968,0.274,0.00115916,0.274,0.000405171
0.276,2.18543,0.276,0.00141067,0.276,0.00116403,0.276,0.000410042
0.278,2.20435,0.278,0.00141946,0.278,0.0011689,0.278,0.000405487
0.28,2.22331,0.28,0.00142605,0.28,0.00117377,0.28,0.000410358
0.282,2.2423,0.282,0.00143484,0.282,0.00117864,0.282,0.000405803
0.284,2.26134,0.284,0.00145242,0.284,0.00118838,0.284,0.000415544
0.286,2.28041,0.286,0.00147219,0.286,0.00119812,0.286,0.00041586
0.288,2.29952,0.288,0.00148318,0.288,0.00119812,0.288,0.000406435
0.29,2.31868,0.29,0.00149197,0.29,0.00120299,0.29,0.000411306
0.292,2.33787,0.292,0.00149856,0.292,0.00120786,0.292,0.000406751
0.294,2.3571,0.294,0.00150735,0.294,0.00121273,0.294,0.000411622
0.296,2.37637,0.296,0.00152493,0.296,0.00122247,0.296,0.000402513
0.298,2.39567,0.298,0.0015447,0.298,0.00123221,0.298,0.000402829
0.3,2.41502,0.3,0.00155569,0.3,0.00123708,0.3,0.000398274
0.302,2.4344,0.302,0.00156448,0.302,0.00124682,0.302,0.000408015
0.304,2.45382,0.304,0.00157107,0.304,0.00125169,0.304,0.000403461
0.306,2.47328,0.306,0.00157986,0.306,0.00125656,0.306,0.000398906
0.308,2.49278,0.308,0.00159963,0.308,0.00127117,0.308,0.000394668
0.31,2.51232,0.31,0.00162161,0.31,0.00128579,0.31,0.00039043
0.312,2.53189,0.312,0.00163259,0.312,0.00129066,0.312,0.000385875
0.314,2.5515,0.314,0.00164138,0.314,0.0013004,0.314,0.000386191
0.316,2.57115,0.316,0.00164798,0.316,0.00131014,0.316,0.000386507
0.318,2.59083,0.318,0.00165676,0.318,0.00131501,0.318,0.000381953
0.32,2.61055,0.32,0.00167654,0.32,0.00133449,0.32,0.000382585
0.322,2.63031,0.322,0.00170071,0.322,0.0013491,0.322,0.000378346
0.324,2.6501,0.324,0.00171389,0.324,0.00135884,0.324,0.000378662
0.326,2.66993,0.326,0.00172268,0.326,0.00136858,0.326,0.000378978
0.328,2.6898,0.328,0.00173147,0.328,0.00137345,0.328,0.000383849
0.33,2.7097,0.33,0.00174026,0.33,0.00138319,0.33,0.000384165
0.332,2.72964,0.332,0.00176004,0.332,0.0013978,0.332,0.000379926
0.334,2.74961,0.334,0.00178421,0.334,0.00141242,0.334,0.000375688
0.336,2.76962,0.336,0.00179519,0.336,0.00141729,0.336,0.000380558
0.338,2.78966,0.338,0.00180618,0.338,0.00142703,0.338,0.000380874
0.34,2.80974,0.34,0.00181277,0.34,0.0014319,0.34,0.00037632
0.342,2.82986,0.342,0.00182156,0.342,0.00144164,0.342,0.000386061
0.344,2.85001,0.344,0.00184134,0.344,0.00145138,0.344,0.000376952
0.346,2.87019,0.346,0.00186551,0.346,0.00146599,0.346,0.000382138
0.348,2.89041,0.348,0.00187649,0.348,0.00147573,0.348,0.000391879
0.35,2.91066,0.35,0.00188748,0.35,0.00148547,0.35,0.000392195
0.352,2.93095,0.352,0.00189627,0.352,0.00149034,0.352,0.000387641
0.354,2.95127,0.354,0.00190506,0.354,0.00150008,0.354,0.000397382
0.356,2.97162,0.356,0.00192483,0.356,0.00151469,0.356,0.000402568
0.358,2.99201,0.358,0.00194901,0.358,0.00153418,0.358,0.0004032
0.36,3.01243,0.36,0.00195999,0.36,0.00153905,0.36,0.00040807
0.362,3.03289,0.362,0.00197098,0.362,0.00154879,0.362,0.000408386
0.364,3.05337,0.364,0.00197977,0.364,0.00155853,0.364,0.000418127
0.366,3.07389,0.366,0.00199075,0.366,0.00156827,0.366,0.000418443
0.368,3.09445,0.368,0.00201053,0.368,0.00158775,0.368,0.0004285
0.37,3.11503,0.37,0.0020369,0.37,0.00160723,0.37,0.000429132
0.372,3.13565,0.372,0.00204788,0.372,0.00161697,0.372,0.000438873
0.374,3.1563,0.374,0.00205887,0.374,0.00162671,0.374,0.000439189
0.376,3.17698,0.376,0.00206766,0.376,0.00163645,0.376,0.000439505
0.378,3.19769,0.378,0.00207645,0.378,0.0016462,0.378,0.000449246
0.38,3.21843,0.38,0.00209622,0.38,0.00167055,0.38,0.000454748
0.382,3.23921,0.382,0.00212259,0.382,0.0016949,0.382,0.000469675
0.384,3.26001,0.384,0.00213358,0.384,0.00170464,0.384,0.000469991
0.386,3.28085,0.386,0.00214456,0.386,0.00171925,0.386,0.000475178
0.388,3.30172,0.388,0.00215335,0.388,0.00172899,0.388,0.000484918
0.39,3.32261,0.39,0.00216214,0.39,0.0017436,0.39,0.000490105
0.392,3.34354,0.392,0.00218192,0.392,0.00176796,0.392,0.000505032
0.394,3.3645,0.394,0.00220389,0.394,0.00179231,0.394,0.000510534
0.396,3.38549,0.396,0.00221708,0.396,0.00180205,0.396,0.00051085
0.398,3.4065,0.398,0.00222586,0.398,0.00181666,0.398,0.000525462
0.4,3.42755,0.4,0.00223465,0.4,0.0018264,0.4,0.000525778
0.402,3.44862,0.402,0.00224344,0.402,0.00184101,0.402,0.000540389
0.404,3.46973,0.404,0.00226102,0.404,0.00186536,0.404,0.000545891
0.406,3.49086,0.406,0.00228299,0.406,0.00188484,0.406,0.000555948
0.408,3.51202,0.408,0.00229178,0.408,0.00189946,0.408,0.000561134
0.41,3.53321,0.41,0.00230057,0.41,0.0019092,0.41,0.000570875
0.412,3.55443,0.412,0.00230936,0.412,0.00192381,0.412,0.000576062
0.414,3.57567,0.414,0.00231815,0.414,0.00193355,0.414,0.000585802
0.416,3.59694,0.416,0.00233573,0.416,0.0019579,0.416,0.000591305
0.418,3.61824,0.418,0.0023577,0.418,0.00197738,0.418,0.000601362
0.42,3.63957,0.42,0.00236869,0.42,0.00199199,0.42,0.000615973
0.422,3.66092,0.422,0.00237748,0.422,0.00200173,0.422,0.000616289
0.424,3.6823,0.424,0.00238407,0.424,0.00201148,0.424,0.00062603
0.426,3.70371,0.426,0.00239286,0.426,0.00202122,0.426,0.000626346
0.428,3.72514,0.428,0.00241483,0.428,0.00204557,0.428,0.000641273
0.43,3.7466,0.43,0.002439,0.43,0.00206992,0.43,0.0006562
0.432,3.76808,0.432,0.00244999,0.432,0.00207966,0.432,0.000665941
0.434,3.78959,0.434,0.00246098,0.434,0.0020894,0.434,0.000666257
0.436,3.81112,0.436,0.00246977,0.436,0.00209914,0.436,0.000666573
0.438,3.83268,0.438,0.00247855,0.438,0.00210888,0.438,0.000676314
0.44,3.85426,0.44,0.00249613,0.44,0.00213324,0.44,0.000681816
0.442,3.87587,0.442,0.00251811,0.442,0.00215272,0.442,0.000691873
0.444,3.8975,0.444,0.00252909,0.444,0.00216246,0.444,0.000692189
0.446,3.91916,0.446,0.00254008,0.446,0.00217707,0.446,0.000697375
0.448,3.94084,0.448,0.00254887,0.448,0.00218681,0.448,0.000707116
0.45,3.96254,0.45,0.00255766,0.45,0.00219655,0.45,0.000707432
0.452,3.98426,0.452,0.00257743,0.452,0.00221603,0.452,0.000717489
0.454,4.00601,0.454,0.00259941,0.454,0.00224038,0.454,0.000722991
0.456,4.02778,0.456,0.00261039,0.456,0.00225012,0.456,0.000723307
0.458,4.04958,0.458,0.00261918,0.458,0.00225987,0.458,0.000723623
0.46,4.07139,0.46,0.00262797,0.46,0.00226961,0.46,0.000723939
0.462,4.09323,0.462,0.00263676,0.462,0.00227935,0.462,0.00073368
0.464,4.11509,0.464,0.00265654,0.464,0.00229883,0.464,0.000734312
0.466,4.13697,0.466,0.00268071,0.466,0.00231831,0.466,0.000734944
0.468,4.15887,0.468,0.00269169,0.468,0.00232805,0.468,0.00073526
0.47,4.18079,0.47,0.00270268,0.47,0.00233292,0.47,0.00074013
0.472,4.20273,0.472,0.00270927,0.472,0.00234266,0.472,0.000740446
0.474,4.22469,0.474,0.00272026,0.474,0.0023524,0.474,0.000740762
0.476,4.24667,0.476,0.00274003,0.476,0.00236701,0.476,0.000736524
0.478,4.26867,0.478,0.0027642,0.478,0.00238163,0.478,0.00074171
0.48,4.29069,0.48,0.00277519,0.48,0.00239137,0.48,0.000742026
0.482,4.31273,0.482,0.00278398,0.482,0.00239624,0.482,0.000737472
0.484,4.33479,0.484,0.00279277,0.484,0.00240598,0.484,0.000737788
0.486,4.35687,0.486,0.00280156,0.486,0.00241085,0.486,0.000733234
0.488,4.37896,0.488,0.00282353,0.488,0.00242546,0.488,0.00073842
0.49,4.40107,0.49,0.0028499,0.49,0.0024352,0.49,0.000729311
0.492,4.4232,0.492,0.00286088,0.492,0.00244494,0.492,0.000729627
0.494,4.44535,0.494,0.00287187,0.494,0.00244981,0.494,0.000725073
0.496,4.46751,0.496,0.00288066,0.496,0.00245955,0.496,0.000734814
0.498,4.48969,0.498,0.00289165,0.498,0.00246442,0.498,0.000730259
0.5,4.51189,0.5,0.00291362,0.5,0.00247416,0.5,0.00072115
0.502,4.5341,0.502,0.00293779,0.502,0.00248877,0.502,0.000716912
0.504,4.55633,0.504,0.00295097,0.504,0.00249364,0.504,0.000721782
0.506,4.57858,0.506,0.00295976,0.506,0.00250339,0.506,0.000722098
0.508,4.60084,0.508,0.00296855,0.508,0.00250826,0.508,0.000717544
0.51,4.62311,0.51,0.00297734,0.51,0.00251313,0.51,0.00071299
0.512,4.6454,0.512,0.00299931,0.512,0.00252774,0.512,0.000708751
0.514,4.6677,0.514,0.00302348,0.514,0.00254235,0.514,0.000713938
0.516,4.69002,0.516,0.00303667,0.516,0.00254722,0.516,0.000709383
0.518,4.71235,0.518,0.00304766,0.518,0.00255696,0.518,0.000709699
0.52,4.73469,0.52,0.00305425,0.52,0.0025667,0.52,0.000710015
0.522,4.75705,0.522,0.00306304,0.522,0.00257157,0.522,0.000705461
0.524,4.77941,0.524,0.00308281,0.524,0.00258618,0.524,0.000701222
0.526,4.8018,0.526,0.00310698,0.526,0.00260566,0.526,0.000701854
0.528,4.82419,0.528,0.00312017,0.528,0.0026154,0.528,0.00070217
0.53,4.84659,0.53,0.00312896,0.53,0.00262515,0.53,0.000702486
0.532,4.86901,0.532,0.00313774,0.532,0.00263002,0.532,0.000697932
