Time - Fc (N),Amplitude - Fc (N),"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Middle Plate,  VehicleTire (m)","Amplitude - Middle Plate,  VehicleTire (m)","Time - Top Plate, Vechile Body (m)","Amplitude - Top Plate, Vechile Body (m)"
0.23,0.225927,0.23,0.00302568,0.23,0.00272255,0.23,0.00272255
0.232,0.228606,0.232,0.00304106,0.232,0.00273229,0.232,0.00273229
0.234,0.231296,0.234,0.00305644,0.234,0.00273716,0.234,0.00273716
0.236,0.233999,0.236,0.0030938,0.236,0.00275178,0.236,0.00275178
0.238,0.236714,0.238,0.00313555,0.238,0.00276152,0.238,0.00276152
0.24,0.239442,0.24,0.00315532,0.24,0.00277126,0.24,0.00277126
0.242,0.242182,0.242,0.0031751,0.242,0.00277613,0.242,0.00277613
0.244,0.244934,0.244,0.00319048,0.244,0.002781,0.244,0.002781
0.246,0.247698,0.246,0.00320586,0.246,0.002781,0.246,0.002781
0.248,0.250475,0.248,0.00324102,0.248,0.00279074,0.248,0.00279074
0.25,0.253264,0.25,0.00328277,0.25,0.00280048,0.25,0.00280048
0.252,0.256065,0.252,0.00330254,0.252,0.00281022,0.252,0.00281022
0.254,0.258879,0.254,0.00332012,0.254,0.00281022,0.254,0.00281022
0.256,0.261704,0.256,0.0033377,0.256,0.00281509,0.256,0.00281509
0.258,0.264543,0.258,0.00335308,0.258,0.00281996,0.258,0.00281996
0.26,0.267393,0.26,0.00339043,0.26,0.0028297,0.26,0.0028297
0.262,0.270256,0.262,0.00342999,0.262,0.00283944,0.262,0.00283944
0.264,0.273131,0.264,0.00344976,0.264,0.00284431,0.264,0.00284431
0.266,0.276018,0.266,0.00346514,0.266,0.00284918,0.266,0.00284918
0.268,0.278918,0.268,0.00347833,0.268,0.00285405,0.268,0.00285405
0.27,0.28183,0.27,0.00349371,0.27,0.00285405,0.27,0.00285405
0.272,0.284754,0.272,0.00352447,0.272,0.00286867,0.272,0.00286867
0.274,0.28769,0.274,0.00355963,0.274,0.00288328,0.274,0.00288328
0.276,0.290639,0.276,0.0035772,0.276,0.00288815,0.276,0.00288815
0.278,0.2936,0.278,0.00359259,0.278,0.00289789,0.278,0.00289789
0.28,0.296573,0.28,0.00360577,0.28,0.00290276,0.28,0.00290276
0.282,0.299559,0.282,0.00361895,0.282,0.00290763,0.282,0.00290763
0.284,0.302557,0.284,0.00364752,0.284,0.00292711,0.284,0.00292711
0.286,0.305567,0.286,0.00367828,0.286,0.00294659,0.286,0.00294659
0.288,0.308589,0.288,0.00369586,0.288,0.00295633,0.288,0.00295633
0.29,0.311624,0.29,0.00370904,0.29,0.00296607,0.29,0.00296607
0.292,0.314671,0.292,0.00372223,0.292,0.00298068,0.292,0.00298068
0.294,0.31773,0.294,0.00373541,0.294,0.00299043,0.294,0.00299043
0.296,0.320802,0.296,0.00376617,0.296,0.00300991,0.296,0.00300991
0.298,0.323885,0.298,0.00379913,0.298,0.00303913,0.298,0.00303913
0.3,0.326982,0.3,0.00381671,0.3,0.00305374,0.3,0.00305374
0.302,0.33009,0.302,0.00383209,0.302,0.00306835,0.302,0.00306835
0.304,0.333211,0.304,0.00384528,0.304,0.00308296,0.304,0.00308296
0.306,0.336343,0.306,0.00385846,0.306,0.00309757,0.306,0.00309757
0.308,0.339489,0.308,0.00388702,0.308,0.00312193,0.308,0.00312193
0.31,0.342646,0.31,0.00391779,0.31,0.00315602,0.31,0.00315602
0.312,0.345816,0.312,0.00393317,0.312,0.0031755,0.312,0.0031755
0.314,0.348998,0.314,0.00394855,0.314,0.00319498,0.314,0.00319498
0.316,0.352192,0.316,0.00395953,0.316,0.00320959,0.316,0.00320959
0.318,0.355399,0.318,0.00397272,0.318,0.0032242,0.318,0.0032242
0.32,0.358618,0.32,0.00400128,0.32,0.0032583,0.32,0.0032583
0.322,0.361849,0.322,0.00402985,0.322,0.00329726,0.322,0.00329726
0.324,0.365092,0.324,0.00404523,0.324,0.00331674,0.324,0.00331674
0.326,0.368348,0.326,0.00405841,0.326,0.00334109,0.326,0.00334109
0.328,0.371616,0.328,0.0040694,0.328,0.00336058,0.328,0.00336058
0.33,0.374896,0.33,0.00408039,0.33,0.00338006,0.33,0.00338006
0.332,0.378188,0.332,0.00410675,0.332,0.00342389,0.332,0.00342389
0.334,0.381493,0.334,0.00413752,0.334,0.0034726,0.334,0.0034726
0.336,0.38481,0.336,0.0041507,0.336,0.00349695,0.336,0.00349695
0.338,0.388139,0.338,0.00416388,0.338,0.0035213,0.338,0.0035213
0.34,0.391481,0.34,0.00417487,0.34,0.00354565,0.34,0.00354565
0.342,0.394834,0.342,0.00418586,0.342,0.00356513,0.342,0.00356513
0.344,0.3982,0.344,0.00421003,0.344,0.00360897,0.344,0.00360897
0.346,0.401579,0.346,0.00423859,0.346,0.00365767,0.346,0.00365767
0.348,0.404969,0.348,0.00425397,0.348,0.00368202,0.348,0.00368202
0.35,0.408372,0.35,0.00426716,0.35,0.00370637,0.35,0.00370637
0.352,0.411787,0.352,0.00427595,0.352,0.00372586,0.352,0.00372586
0.354,0.415214,0.354,0.00428693,0.354,0.00374534,0.354,0.00374534
0.356,0.418654,0.356,0.00430891,0.356,0.00378917,0.356,0.00378917
0.358,0.422106,0.358,0.00433527,0.358,0.003833,0.358,0.003833
0.36,0.42557,0.36,0.00434626,0.36,0.00385249,0.36,0.00385249
0.362,0.429046,0.362,0.00435725,0.362,0.00387684,0.362,0.00387684
0.364,0.432535,0.364,0.00436604,0.364,0.00389632,0.364,0.00389632
0.366,0.436036,0.366,0.00437263,0.366,0.00391093,0.366,0.00391093
0.368,0.439549,0.368,0.0043924,0.368,0.00394989,0.368,0.00394989
0.37,0.443074,0.37,0.00441438,0.37,0.00398886,0.37,0.00398886
0.372,0.446612,0.372,0.00442536,0.372,0.00400834,0.372,0.00400834
0.374,0.450161,0.374,0.00443415,0.374,0.00402782,0.374,0.00402782
0.376,0.453723,0.376,0.00444074,0.376,0.00404243,0.376,0.00404243
0.378,0.457298,0.378,0.00444514,0.378,0.00405704,0.378,0.00405704
0.38,0.460884,0.38,0.00446052,0.38,0.00409114,0.38,0.00409114
0.382,0.464483,0.382,0.0044759,0.382,0.00412523,0.382,0.00412523
0.384,0.468094,0.384,0.00448469,0.384,0.00413984,0.384,0.00413984
0.386,0.471717,0.386,0.00449128,0.386,0.00415445,0.386,0.00415445
0.388,0.475353,0.388,0.00449787,0.388,0.00416419,0.388,0.00416419
0.39,0.479001,0.39,0.00450447,0.39,0.0041788,0.39,0.0041788
0.392,0.482661,0.392,0.00451545,0.392,0.00419828,0.392,0.00419828
0.394,0.486333,0.394,0.00452864,0.394,0.00422264,0.394,0.00422264
0.396,0.490017,0.396,0.00453523,0.396,0.00423238,0.396,0.00423238
0.398,0.493714,0.398,0.00454182,0.398,0.00424212,0.398,0.00424212
0.4,0.497423,0.4,0.00454621,0.4,0.00424699,0.4,0.00424699
0.402,0.501144,0.402,0.00455061,0.402,0.00425186,0.402,0.00425186
0.404,0.504877,0.404,0.00456159,0.404,0.00426647,0.404,0.00426647
0.406,0.508623,0.406,0.00457258,0.406,0.00428108,0.406,0.00428108
0.408,0.512381,0.408,0.00457917,0.408,0.00428595,0.408,0.00428595
0.41,0.516151,0.41,0.00458357,0.41,0.00429569,0.41,0.00429569
0.412,0.519933,0.412,0.00458577,0.412,0.00429569,0.412,0.00429569
0.414,0.523728,0.414,0.00459016,0.414,0.00430056,0.414,0.00430056
0.416,0.527535,0.416,0.00459895,0.416,0.00430543,0.416,0.00430543
0.418,0.531353,0.418,0.00460774,0.418,0.00430543,0.418,0.00430543
0.42,0.535185,0.42,0.00460994,0.42,0.00430543,0.42,0.00430543
0.422,0.539028,0.422,0.00461433,0.422,0.00430543,0.422,0.00430543
0.424,0.542884,0.424,0.00461653,0.424,0.00430543,0.424,0.00430543
0.426,0.546752,0.426,0.00461872,0.426,0.00430543,0.426,0.00430543
0.428,0.550632,0.428,0.00462312,0.428,0.00429569,0.428,0.00429569
0.43,0.554524,0.43,0.00462971,0.43,0.00429569,0.43,0.00429569
0.432,0.558428,0.432,0.00463191,0.432,0.00429082,0.432,0.00429082
0.434,0.562345,0.434,0.00463411,0.434,0.00429082,0.434,0.00429082
0.436,0.566274,0.436,0.0046363,0.436,0.00428595,0.436,0.00428595
0.438,0.570215,0.438,0.0046385,0.438,0.00428108,0.438,0.00428108
0.44,0.574168,0.44,0.00464289,0.44,0.00427621,0.44,0.00427621
0.442,0.578134,0.442,0.00464509,0.442,0.00426647,0.442,0.00426647
0.444,0.582111,0.444,0.00464509,0.444,0.00426647,0.444,0.00426647
0.446,0.586101,0.446,0.00464509,0.446,0.0042616,0.446,0.0042616
0.448,0.590103,0.448,0.00464509,0.448,0.0042616,0.448,0.0042616
0.45,0.594118,0.45,0.00464729,0.45,0.00425673,0.45,0.00425673
0.452,0.598144,0.452,0.00464729,0.452,0.00425186,0.452,0.00424243
0.454,0.602183,0.454,0.00464729,0.454,0.00424212,0.454,0.00422327
0.456,0.606234,0.456,0.00464729,0.456,0.00424212,0.456,0.00421384
0.458,0.610297,0.458,0.00464729,0.458,0.00423725,0.458,0.00419955
0.46,0.614372,0.46,0.00464729,0.46,0.00423725,0.46,0.00419012
0.462,0.61846,0.462,0.00464729,0.462,0.00423238,0.462,0.00418525
0.464,0.622559,0.464,0.00464729,0.464,0.00422751,0.464,0.00416153
0.466,0.626671,0.466,0.00464729,0.466,0.00422264,0.466,0.00413781
0.468,0.630795,0.468,0.00464729,0.468,0.00422264,0.468,0.00413781
0.47,0.634931,0.47,0.00464729,0.47,0.00422264,0.47,0.00412839
0.472,0.63908,0.472,0.00464729,0.472,0.00422264,0.472,0.00411896
0.474,0.64324,0.474,0.00464729,0.474,0.00421777,0.474,0.00411409
0.476,0.647413,0.476,0.00464729,0.476,0.00421777,0.476,0.00410467
0.478,0.651598,0.478,0.00464729,0.478,0.00421777,0.478,0.00409524
0.48,0.655795,0.48,0.00464729,0.48,0.00421777,0.48,0.00409524
0.482,0.660004,0.482,0.00464729,0.482,0.00421777,0.482,0.00408582
0.484,0.664226,0.484,0.00464729,0.484,0.0042129,0.484,0.00408095
0.486,0.668459,0.486,0.00464729,0.486,0.0042129,0.486,0.00407152
0.488,0.672705,0.488,0.00464729,0.488,0.00420803,0.488,0.00406665
0.49,0.676963,0.49,0.00464729,0.49,0.00420803,0.49,0.00405723
0.492,0.681233,0.492,0.00464729,0.492,0.00420803,0.492,0.0040478
0.494,0.685516,0.494,0.00464729,0.494,0.00420316,0.494,0.00404293
0.496,0.68981,0.496,0.00464729,0.496,0.00420316,0.496,0.00404293
0.498,0.694117,0.498,0.00464729,0.498,0.00420316,0.498,0.00404293
0.5,0.698435,0.5,0.00464509,0.5,0.00420316,0.5,0.00404293
0.502,0.702766,0.502,0.00464509,0.502,0.00420316,0.502,0.00404293
0.504,0.707109,0.504,0.00464509,0.504,0.00419828,0.504,0.00403806
0.506,0.711464,0.506,0.00464509,0.506,0.00419828,0.506,0.00403806
0.508,0.715832,0.508,0.00464509,0.508,0.00419828,0.508,0.00403806
0.51,0.720211,0.51,0.00464509,0.51,0.00419828,0.51,0.00403806
0.512,0.724603,0.512,0.00464509,0.512,0.00419828,0.512,0.00403806
0.514,0.729007,0.514,0.00464289,0.514,0.00420316,0.514,0.00404293
0.516,0.733423,0.516,0.00464289,0.516,0.00420316,0.516,0.00404293
0.518,0.737851,0.518,0.00464289,0.518,0.00420316,0.518,0.00404293
0.52,0.742291,0.52,0.00464289,0.52,0.00420316,0.52,0.00404293
0.522,0.746743,0.522,0.0046407,0.522,0.00420316,0.522,0.00404293
0.524,0.751207,0.524,0.0046407,0.524,0.00420803,0.524,0.0040478
0.526,0.755684,0.526,0.0046385,0.526,0.00420803,0.526,0.0040478
0.528,0.760173,0.528,0.0046385,0.528,0.00420803,0.528,0.0040478
0.53,0.764674,0.53,0.0046385,0.53,0.00420803,0.53,0.0040478
0.532,0.769187,0.532,0.0046363,0.532,0.0042129,0.532,0.00405267
0.534,0.773712,0.534,0.00463411,0.534,0.0042129,0.534,0.00405267
0.536,0.778249,0.536,0.00462312,0.536,0.0042129,0.536,0.00405267
0.538,0.782798,0.538,0.00460994,0.538,0.0042129,0.538,0.00405267
0.54,0.78736,0.54,0.00460334,0.54,0.0042129,0.54,0.00405267
0.542,0.791933,0.542,0.00460115,0.542,0.0042129,0.542,0.00405267
0.544,0.796519,0.544,0.00459895,0.544,0.0042129,0.544,0.00405267
0.546,0.801116,0.546,0.00459895,0.546,0.0042129,0.546,0.00405267
0.548,0.805726,0.548,0.00459236,0.548,0.00421777,0.548,0.00405754
0.55,0.810348,0.55,0.00458357,0.55,0.0042129,0.55,0.00405267
0.552,0.814982,0.552,0.00457478,0.552,0.0042129,0.552,0.00405267
0.554,0.819628,0.554,0.00456819,0.554,0.0042129,0.554,0.00405267
0.556,0.824287,0.556,0.0045594,0.556,0.0042129,0.556,0.00405267
0.558,0.828957,0.558,0.00455061,0.558,0.0042129,0.558,0.00405267
0.56,0.833639,0.56,0.00452424,0.56,0.00420803,0.56,0.0040478
0.562,0.838334,0.562,0.00449568,0.562,0.00420316,0.562,0.00403351
0.564,0.843041,0.564,0.00448029,0.564,0.00420316,0.564,0.00403351
0.566,0.847759,0.566,0.00446711,0.566,0.00420316,0.566,0.00403351
0.568,0.85249,0.568,0.00445612,0.568,0.00419828,0.568,0.00402864
0.57,0.857233,0.57,0.00444734,0.57,0.00419828,0.57,0.00401921
0.572,0.861988,0.572,0.00442316,0.572,0.00419341,0.572,0.00401434
0.574,0.866755,0.574,0.0043924,0.574,0.00418367,0.574,0.0040046
0.576,0.871534,0.576,0.00437482,0.576,0.0041788,0.576,0.00399973
0.578,0.876325,0.578,0.00436164,0.578,0.00417393,0.578,0.00399486
