Time - Fc (N),Amplitude - Fc (N),"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Middle Plate,  VehicleTire (m)","Amplitude - Middle Plate,  VehicleTire (m)","Time - Top Plate, Vechile Body (m)","Amplitude - Top Plate, Vechile Body (m)"
0.242,0,0.242,0.00108986,0.242,0.000959469,0.242,0.000959469
0.244,0,0.244,0.00109865,0.244,0.00096921,0.244,0.00096921
0.246,0,0.246,0.00110744,0.246,0.00097895,0.246,0.00097895
0.248,0,0.248,0.00112721,0.248,0.000993562,0.248,0.000993562
0.25,0,0.25,0.00115139,0.25,0.00101304,0.25,0.00101304
0.252,0,0.252,0.00116237,0.252,0.00101791,0.252,0.00101791
0.254,0,0.254,0.00117116,0.254,0.00102765,0.254,0.00102765
0.256,0,0.256,0.00117995,0.256,0.0010374,0.256,0.0010374
0.258,0,0.258,0.00118654,0.258,0.00104227,0.258,0.00104227
0.26,0,0.26,0.00120632,0.26,0.00105688,0.26,0.00105688
0.262,0,0.262,0.00122829,0.262,0.00107149,0.262,0.00107149
0.264,0,0.264,0.00123928,0.264,0.00107636,0.264,0.00107636
0.266,0,0.266,0.00124807,0.266,0.00108123,0.266,0.00108123
0.268,0,0.268,0.00125686,0.268,0.0010861,0.268,0.0010861
0.27,0,0.27,0.00126564,0.27,0.0010861,0.27,0.0010861
0.272,0,0.272,0.00128762,0.272,0.00109584,0.272,0.00109584
0.274,0,0.274,0.00131179,0.274,0.00110071,0.274,0.00110071
0.276,0,0.276,0.00132277,0.276,0.00110558,0.276,0.00110558
0.278,0,0.278,0.00133376,0.278,0.00111045,0.278,0.00111045
0.28,0,0.28,0.00134255,0.28,0.00111045,0.28,0.00111045
0.282,0,0.282,0.00134914,0.282,0.00111532,0.282,0.00111532
0.284,0,0.284,0.00136892,0.284,0.00112019,0.284,0.00112019
0.286,0,0.286,0.00139089,0.286,0.00112993,0.286,0.00112993
0.288,0,0.288,0.00140188,0.288,0.00112993,0.288,0.00112993
0.29,0,0.29,0.00141286,0.29,0.0011348,0.29,0.0011348
0.292,0,0.292,0.00142165,0.292,0.00113967,0.292,0.00113967
0.294,0,0.294,0.00143264,0.294,0.00113967,0.294,0.00113967
0.296,0,0.296,0.00145242,0.296,0.00114454,0.296,0.00114454
0.298,0,0.298,0.00147439,0.298,0.00114941,0.298,0.00114941
0.3,0,0.3,0.00148537,0.3,0.00115428,0.3,0.00115428
0.302,0,0.302,0.00149416,0.302,0.00115916,0.302,0.00115916
0.304,0,0.304,0.00150295,0.304,0.00115916,0.304,0.00115916
0.306,0,0.306,0.00151174,0.306,0.00116403,0.306,0.00116403
0.308,0,0.308,0.00153152,0.308,0.0011689,0.308,0.0011689
0.31,0,0.31,0.00155569,0.31,0.00117864,0.31,0.00117864
0.312,0,0.312,0.00156667,0.312,0.00117864,0.312,0.00117864
0.314,0,0.314,0.00157546,0.314,0.00118351,0.314,0.00118351
0.316,0,0.316,0.00158206,0.316,0.00118838,0.316,0.00118838
0.318,0,0.318,0.00159085,0.318,0.00119325,0.318,0.00119325
0.32,0,0.32,0.00160842,0.32,0.00119812,0.32,0.00119812
0.322,0,0.322,0.0016304,0.322,0.00121273,0.322,0.00121273
0.324,0,0.324,0.00164138,0.324,0.0012176,0.324,0.0012176
0.326,0,0.326,0.00165017,0.326,0.00122247,0.326,0.00122247
0.328,0,0.328,0.00165896,0.328,0.00122734,0.328,0.00122734
0.33,0,0.33,0.00166775,0.33,0.00123221,0.33,0.00123221
0.332,0,0.332,0.00168533,0.332,0.00124195,0.332,0.00124195
0.334,0,0.334,0.0017051,0.334,0.00125656,0.334,0.00125656
0.336,0,0.336,0.00171389,0.336,0.0012663,0.336,0.0012663
0.338,0,0.338,0.00172268,0.338,0.00127604,0.338,0.00127604
0.34,0,0.34,0.00173147,0.34,0.00128092,0.34,0.00128092
0.342,0,0.342,0.00174026,0.342,0.00129066,0.342,0.00129066
0.344,0,0.344,0.00175784,0.344,0.00130527,0.344,0.00130527
0.346,0,0.346,0.00177981,0.346,0.00132962,0.346,0.00132962
0.348,0,0.348,0.0017908,0.348,0.00133936,0.348,0.00133936
0.35,0,0.35,0.00179959,0.35,0.0013491,0.35,0.0013491
0.352,0,0.352,0.00180838,0.352,0.00135884,0.352,0.00135884
0.354,0,0.354,0.00181717,0.354,0.00136858,0.354,0.00136858
0.356,0,0.356,0.00183694,0.356,0.00138806,0.356,0.00138806
0.358,0,0.358,0.00186111,0.358,0.00141242,0.358,0.00141242
0.36,0,0.36,0.0018721,0.36,0.00142216,0.36,0.00142216
0.362,0,0.362,0.00188089,0.362,0.0014319,0.362,0.0014319
0.364,0,0.364,0.00188968,0.364,0.00144164,0.364,0.00144164
0.366,0,0.366,0.00189627,0.366,0.00145625,0.366,0.00145625
0.368,0,0.368,0.00191605,0.368,0.0014806,0.368,0.0014806
0.37,0,0.37,0.00194241,0.37,0.00150982,0.37,0.00150982
0.372,0,0.372,0.0019534,0.372,0.00152444,0.372,0.00152444
0.374,0,0.374,0.00196439,0.374,0.00153905,0.374,0.00153905
0.376,0,0.376,0.00197318,0.376,0.00155366,0.376,0.00155366
0.378,0,0.378,0.00198196,0.378,0.00156827,0.378,0.00156827
0.38,0,0.38,0.00200174,0.38,0.00159749,0.38,0.00159749
0.382,0,0.382,0.00202371,0.382,0.00162671,0.382,0.00162671
0.384,0,0.384,0.0020347,0.384,0.00164132,0.384,0.00164132
0.386,0,0.386,0.00204569,0.386,0.00166081,0.386,0.00166081
0.388,0,0.388,0.00205448,0.388,0.00167542,0.388,0.00167542
0.39,0,0.39,0.00206546,0.39,0.00169003,0.39,0.00169003
0.392,0,0.392,0.00208744,0.392,0.00172412,0.392,0.00172412
0.394,0,0.394,0.00211161,0.394,0.00175334,0.394,0.00175334
0.396,0,0.396,0.00212479,0.396,0.00176796,0.396,0.00176796
0.398,0,0.398,0.00213358,0.398,0.00178744,0.398,0.00178744
0.4,0,0.4,0.00214456,0.4,0.00180205,0.4,0.00180205
0.402,0,0.402,0.00215335,0.402,0.00181666,0.402,0.00181666
0.404,0,0.404,0.00217533,0.404,0.00184588,0.404,0.00184588
0.406,0,0.406,0.00220169,0.406,0.0018751,0.406,0.0018751
0.408,0,0.408,0.00221488,0.408,0.00188972,0.408,0.00188972
0.41,0,0.41,0.00222586,0.41,0.00190433,0.41,0.00190433
0.412,0,0.412,0.00223465,0.412,0.00191894,0.412,0.00191894
0.414,0,0.414,0.00224344,0.414,0.00193355,0.414,0.00193355
0.416,0,0.416,0.00226542,0.416,0.00196277,0.416,0.00196277
0.418,0,0.418,0.00229178,0.418,0.00199199,0.418,0.00199199
0.42,0,0.42,0.00230277,0.42,0.0020066,0.42,0.0020066
0.422,0,0.422,0.00231376,0.422,0.00202122,0.422,0.00202122
